,x,y,cluster_pca,Car,Year
5325,-0.11398359538993035,0.6946681237409108,0,Volkswagen GLI,2008
5326,-0.1318866050228642,0.6776961779662638,0,Volkswagen GLI,2008
5327,-0.09613270514457418,0.7115906606486738,0,Volkswagen GLI,2008
5328,-1.6961710148201756,-3.1196119770580424,3,Volkswagen GLI,2008
5329,-0.6056943641130632,-2.1724965948128854,3,Volkswagen GLI,2008
5330,-0.6041203586082173,-2.1710044470329892,3,Volkswagen GLI,2008
5331,-0.6611963962658095,-2.0136381424980003,3,Volkswagen GLI,2009
5332,-0.6634688015641965,-2.0157923690941417,3,Volkswagen GLI,2009
5333,-0.5492910263272914,-1.7910318753181456,3,Volkswagen GLI,2009
5334,-0.562320873221712,-1.8033840920391404,3,Volkswagen GLI,2009
5335,-0.46078054458593765,-1.8962351874668242,3,Volkswagen GLI,2012
5336,-4.574749075250107,1.8996138126716273,2,Volkswagen GLI,2012
5337,-4.579700417069987,1.8949199703176494,2,Volkswagen GLI,2012
5338,-4.56570636150538,1.908186251075998,2,Volkswagen GLI,2012
5339,-4.5573933191867395,1.9160669653439926,2,Volkswagen GLI,2012
5340,-4.577230125228328,2.013782439701212,2,Volkswagen GLI,2012
5341,-4.569803112498509,2.0208232032321787,2,Volkswagen GLI,2012
5342,-4.581399676234542,2.0098297303504933,2,Volkswagen GLI,2012
5343,-4.555678758464957,2.0342130061577373,2,Volkswagen GLI,2012
5344,-4.581222637446302,2.126518209591161,2,Volkswagen GLI,2012
5345,-4.585392188452517,2.1225655002404427,2,Volkswagen GLI,2012
5346,-4.559671270682931,2.1469487760476866,2,Volkswagen GLI,2012
5347,-4.573795624716483,2.133558973122128,2,Mercedes-Benz GLK-Class,2013
5348,-4.5760367583823225,2.131434391846117,2,Mercedes-Benz GLK-Class,2013
5349,-4.971165913907305,2.713266780280351,2,Mercedes-Benz GLK-Class,2013
5350,-4.9398942813606945,2.742912100410739,2,Mercedes-Benz GLK-Class,2014
5351,-4.962305618019098,2.7216662876506272,2,Mercedes-Benz GLK-Class,2014
5352,-3.517086595324723,1.5143450984087945,2,Mercedes-Benz GLK-Class,2014
5353,-3.5098680601452137,1.5211882264722256,2,Mercedes-Benz GLK-Class,2015
5354,-3.49488373621663,1.5353932757013697,2,Mercedes-Benz GLK-Class,2015
5355,-3.5013465402762627,1.5292665762077562,2,Mercedes-Benz GLK-Class,2015
5356,-3.5211833463178523,1.6269820505649755,2,Mercedes-Benz GLS-Class,2017
5357,-3.5139648111383432,1.6338251786284066,2,Mercedes-Benz GLS-Class,2017
5358,-3.4989804872097596,1.6480302278575507,2,Mercedes-Benz GLS-Class,2017
5359,-3.5054432912693922,1.6419035283639372,2,Volkswagen Golf Alltrack,2017
5360,-3.408542276338564,1.65571811495732,2,Volkswagen Golf Alltrack,2017
5361,-3.392802221290104,1.6706395927562816,2,Volkswagen Golf Alltrack,2017
5362,-3.401323741159055,1.662561243020751,2,Volkswagen Golf Alltrack,2017
5363,-3.3863394172304715,1.6767662922498952,2,Volkswagen Golf Alltrack,2017
5364,-4.39445437591437,2.1395325961843388,2,Volkswagen Golf GTI,2015
5365,-4.372355755581433,2.1604819557431463,2,Volkswagen Golf GTI,2015
5366,-4.402611060070278,2.131800108516996,2,Volkswagen Golf GTI,2015
5367,-4.380538499431129,2.1527247636423614,2,Volkswagen Golf GTI,2015
5368,-4.388095810629893,2.1455604779441844,2,Volkswagen Golf GTI,2015
5369,-4.4077448197466795,2.126933335128924,2,Volkswagen Golf GTI,2015
5370,-4.754525625312965,2.417645388333718,2,Volkswagen Golf GTI,2015
5371,-4.74384115085954,2.427774206044934,2,Volkswagen Golf GTI,2015
5372,-4.731332497840897,2.4396323340970887,2,Volkswagen Golf GTI,2015
5373,-4.7242963805179095,2.446302531126426,2,Volkswagen Golf GTI,2015
5374,-5.163410770310587,2.7133418924181316,2,Volkswagen Golf GTI,2015
5375,-4.734199064157669,2.43691484641847,2,Volkswagen Golf GTI,2015
5376,-4.738217636069431,2.5496259118749767,2,Volkswagen Golf GTI,2015
5377,-4.728314952429671,2.5590135965829326,2,Volkswagen Golf GTI,2015
5378,-4.7329014585365075,2.5546656162971426,2,Volkswagen Golf GTI,2015
5379,-4.7454101115551515,2.5428074882449874,2,Volkswagen Golf GTI,2015
5380,-4.756094586008576,2.532678670533772,2,Volkswagen Golf GTI,2015
5381,-5.165083969781353,2.828276356884418,2,Volkswagen Golf GTI,2015
5382,-1.4682555164480597,-1.9203600840651232,3,Volkswagen Golf GTI,2015
5383,-1.4682555164480597,-1.9203600840651232,3,Volkswagen Golf GTI,2015
5384,-0.1161624099985608,-2.179926859892381,3,Volkswagen Golf GTI,2016
5385,-0.12025916099168986,-2.0672899077361997,3,Volkswagen Golf GTI,2016
5386,-1.4723522674411889,-1.8077231319089424,3,Volkswagen Golf GTI,2016
5387,-1.4723522674411889,-1.8077231319089424,3,Volkswagen Golf GTI,2016
5388,-1.4764490184343178,-1.6950861797527612,3,Volkswagen Golf GTI,2016
5389,-0.12435591198481898,-1.9546529555800183,3,Volkswagen Golf GTI,2016
5390,0.8246077261357234,-2.046525846457912,3,Volkswagen Golf GTI,2016
5391,0.7592333236833384,-1.8923654968530252,3,Volkswagen Golf GTI,2016
5392,0.7080604800738205,-2.4700010114804702,3,Volkswagen Golf GTI,2016
5393,0.7081124323318748,-2.3534311135203243,3,Volkswagen Golf GTI,2016
5394,0.8276637164280389,-2.1235765655685905,3,Volkswagen Golf GTI,2016
5395,-1.1434634501776042,0.4368966036224498,2,Volkswagen Golf GTI,2016
5396,-1.1231368890223081,0.4561660617072018,2,Volkswagen Golf GTI,2016
5397,-1.0567316481178337,0.4241644334377067,2,Volkswagen Golf GTI,2016
5398,-1.0770582092731298,0.40489497535295466,2,Volkswagen Golf GTI,2016
5399,-1.1157673747483472,0.5796729645778586,2,Volkswagen Golf GTI,2016
5400,-1.0493621338438728,0.5476713363083634,2,Volkswagen Golf GTI,2016
5401,-1.1413058746614113,0.5554626198047086,2,Volkswagen Golf GTI,2016
5402,-1.074900633756937,0.5234609915352134,2,Volkswagen Golf GTI,2016
5403,-1.0857729051351648,0.629674790996477,2,Volkswagen Golf GTI,2016
5404,-1.050331721582341,0.6632728204775831,2,Volkswagen Golf GTI,2017
5405,-1.0748278337438515,0.6400506530421127,2,Volkswagen Golf GTI,2017
5406,-1.0889000683898258,0.6267102589834382,2,Volkswagen Golf GTI,2017
5407,-1.099845139781139,0.6163343969378026,2,Volkswagen Golf GTI,2017
5408,-1.0612767929736542,0.6528969584319474,2,Volkswagen Golf GTI,2017
5409,0.10258677968434898,0.2780311805288297,0,Volkswagen Golf GTI,2017
5410,0.2831238721823559,0.15965822115129916,0,Volkswagen Golf GTI,2017
5411,1.327054649836893,-1.0529617084649416,0,Volkswagen Golf GTI,2017
5412,1.2791048132654252,-1.098417865998203,0,Volkswagen Golf GTI,2017
5413,1.295855817303369,-0.9660173670884303,0,Volkswagen Golf GTI,2017
5414,1.3618970136577015,-0.8865043050106783,0,Volkswagen Golf R,2015
5415,0.12864647347319005,0.30273561397081944,0,Volkswagen Golf R,2015
5416,-0.6981268307673519,1.1401905458754726,2,Volkswagen Golf R,2016
5417,-0.05293300677637054,0.42012039601067064,0,Volkswagen Golf R,2016
5418,0.1625240753986835,0.33485137744540616,0,Volkswagen Golf R,2016
5419,-0.019055404850877127,0.4522361594852573,0,Volkswagen Golf R,2016
5420,0.14350049893282948,0.3168171410327536,0,Volkswagen Golf R,2017
5421,-0.6856181777487081,1.1520486739276277,2,Volkswagen Golf R,2017
5422,-0.8242461415037518,1.215197837600193,2,Volkswagen Golf R,2017
5423,-0.811737488485108,1.227055965652348,2,Volkswagen Golf R,2017
5424,-0.038078981316731125,0.4342019230726048,0,Volkswagen Golf SportWagen,2015
5426,0.5312370260881873,0.6273765880565804,0,Volkswagen Golf SportWagen,2015
5430,-0.4042512267889419,1.055875666384359,0,Volkswagen Golf SportWagen,2015
5431,-0.019404164310847648,0.4044173171771271,0,Volkswagen Golf SportWagen,2015
5432,-1.1260984565519632,0.17787551974983912,2,Volkswagen Golf SportWagen,2015
5433,-0.6423332643032171,1.2146497614016614,2,Volkswagen Golf SportWagen,2015
5443,-1.364368290991041,0.4529922319396208,2,Volkswagen Golf,2015
5444,-0.15717753723914032,0.5848972753598513,0,Volkswagen Golf,2015
5445,0.025444330761973957,0.4685006706576798,0,Volkswagen Golf,2015
5446,-1.126286253476766,0.2942181369223185,2,Volkswagen Golf,2015
5447,-1.1494793809488344,0.2722311911589476,2,Volkswagen Golf,2015
5448,-1.344041729835745,0.4722616900243728,2,Volkswagen Golf,2015
5449,0.04629208579304683,0.4882642174112716,0,Volkswagen Golf,2015
5450,-0.4703230707424422,1.2047140004951733,2,Volkswagen Golf,2015
5451,0.07086878570405193,0.6020602701616966,0,Volkswagen Golf,2015
5452,-0.7328627989134655,0.9475043144578654,2,Volkswagen Golf,2015
5453,-1.159237733777388,0.8662407346575318,2,Volkswagen Golf,2015
5454,-0.9558097503364481,0.4980100915937607,2,Volkswagen Golf,2015
5455,-0.9709243727339759,0.4836815201974066,2,Volkswagen Golf,2015
5456,-0.6937732582302039,0.9845609646208501,2,Volkswagen Golf,2015
5457,0.031779245020790284,0.565003619998712,0,Volkswagen Golf,2016
5458,0.0698991979655838,0.7176617543309165,0,Volkswagen Golf,2016
5459,-0.9666820217146759,0.6042238910550243,2,Volkswagen Golf,2016
5460,-0.9570399350128047,0.6133645314285605,2,Volkswagen Golf,2016
5461,-1.1602073215158564,0.9818422188267518,2,Volkswagen Golf,2016
5462,0.030809657282322163,0.6806051041679319,0,Volkswagen Golf,2016
5463,-0.7338323866519336,1.0631057986270855,2,Volkswagen Golf,2016
5464,-0.6837977745773587,1.1105383108357059,2,Volkswagen Golf,2016
5465,-0.7228873152606203,1.0734816606727213,2,Volkswagen Golf,2016
5466,-0.694742845968672,1.10016244879007,2,Volkswagen Golf,2017
5467,0.06423886534512425,0.8288164404805779,0,Volkswagen Golf,2017
5468,-0.915318603194644,0.6744833528960744,2,Volkswagen Golf,2017
5469,0.028797681792300363,0.7952184109994719,0,Volkswagen Golf,2017
5487,0.8871607734044383,0.4522441555816117,0,Dodge Grand Caravan,2015
5488,0.38702841069868443,0.18221355203304954,0,Dodge Grand Caravan,2015
5489,0.321144363669987,0.2147092689713845,0,Dodge Grand Caravan,2015
5490,-0.9022034002309952,0.06748747681712038,2,Dodge Grand Caravan,2015
5491,0.7599990749164851,0.5262632699686524,0,Dodge Grand Caravan,2015
5492,-0.7195815322298811,-0.04890912788505106,2,Dodge Grand Caravan,2015
5493,-0.7073334761491258,-0.037298044167315865,2,Dodge Grand Caravan,2016
5494,-0.8899553441502399,0.07909856053485556,2,Dodge Grand Caravan,2016
5495,0.49655562446151125,0.04871918332422647,0,Dodge Grand Caravan,2016
5496,0.3131519656467318,0.16437465502313822,0,Dodge Grand Caravan,2016
5497,-0.6505947404594082,1.0733908800582272,2,Dodge Grand Caravan,2016
5498,1.5728136841763183,0.35286547311311917,0,Dodge Grand Caravan,2016
5504,1.5041358708439339,0.49923336387973477,0,Pontiac Grand Prix,2006
